adc_clk_f should be 3307500, is 3428571 . sample_f should be 44100, is 45714. hclk is 48000000
1, 536872060, 10408, 1, -536813312, -7, -536813312

xaxis, Abuf0, Bbuf0, Cbuf0
151, 424673280, 2072511, 375390208, 3117
152, 419430400, 7887186, 384827392, 2212
153, 402653184, 11674534, 390070272, 1408
154, 383778816, 12798279, 393216000, 804
155, 373293056, 11810571, 398458880, 804
156, 357564416, 9126939, 414187520, 2011
157, 343932928, 4863135, 430964736, 3117
158, 347078656, 312089, 439353344, 2413
159, 361758720, -2871168, 434110464, 301
160, 374341632, -4220903, 414187520, -2413
161, 372244480, -4732804, 394264576, -3821
162, 344981504, -6514759, 379584512, -3318
163, 316669952, -10711351, 361758720, -3117
164, 307232768, -16000447, 338690048, -3922
165, 326107136, -19649006, 328204288, -3218
166, 361758720, -19374578, 326107136, -1206
167, 396361728, -14783803, 332398592, 402
168, 416284672, -7301393, 342884352, 1609
169, 419430400, 876874, 356515840, 2313
170, 403701760, 7538584, 384827392, 4023
171, 387973120, 11616000, 420478976, 6135
172, 369098752, 13056065, 454033408, 6637
173, 351272960, 11966250, 464519168, 4223
174, 336592896, 8862618, 449839104, -402
175, 334495744, 4876762, 415236096, -4727
176, 353370112, 1971609, 368050176, -7844
177, 382730240, 1759933, 332398592, -7945
178, 401604608, 3973842, 316669952, -4927
179, 400556032, 6721534, 321912832, -1005
180, 373293056, 7478629, 341835776, 2413
181, 346030080, 5076802, 365953024, 4224
182, 321912832, 93276, 390070272, 4626
183, 316669952, -5887535, 407896064, 4022
184, 324009984, -10921697, 419430400, 2816
185, 347078656, -13462061, 419430400, 1106
186, 371195904, -12806893, 403701760, -1508
187, 389021696, -9577496, 395313152, -2313
188, 396361728, -5021457, 381681664, -2112
189, 387973120, -793058, 370147328, -2413
190, 374341632, 1904186, 358612992, -2212
191, 359661568, 2801150, 351272960, -1810
192, 356515840, 2585143, 351272960, -703
193, 364904448, 2560561, 359661568, 804
194, 372244480, 3246021, 377487360, 2514
195, 369098752, 3951395, 391118848, 3017
196, 355467264, 3572953, 401604608, 2313
197, 336592896, 1430375, 401604608, 1005
198, 321912832, -2266933, 392167424, -905
199, 322961408, -6196692, 382730240, -1810
