
adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
408, 22, -62
409, 31, 23
410, 24, 27
411, -4, -14
412, 27, 14
413, -9, 25
414, -16, -32
415, -14, -34
416, -5, 26
417, -35, 23
418, -22, -14
419, -11, 0
420, -25, 9
421, -25, -21
422, -19, -13
423, -37, 22
424, -2, 13
425, -22, -8
426, -21, -2
427, -9, -15
428, -15, -25
429, 2, 25
430, -17, 51
431, 9, -18
432, 11, -54
433, 7, 12
434, 7, 31
435, 22, -27
436, 19, -9
437, 5, 55
438, 45, 12
439, 42, -59
440, 21, -15
441, 33, 33
442, 47, -2
443, 61, 2
444, 35, 49
445, 67, -6
446, 51, -80
447, 58, -3
448, 68, 82
449, 71, 14
450, 54, -52
451, 75, 2
452, 73, 29
453, 48, -21
454, 99, -8
455, 40, 40
456, 100, 9
457, 64, -32
458, 47, -4
459, 82, 10
460, 23, -3
461, 96, 30
462, 4, 34
463, 65, -46
464, 43, -60
465, 7, 41
466, 43, 57
467, 22, -25
468, 7, -19
469, 16, 36
470, -26, -18
471, -5, -66
472, -17, 28
473, -43, 82
474, -23, -19
475, -37, -68
476, -19, 15
477, -71, 32
478, -38, -36
479, -44, -12
480, -38, 61
481, -51, 14
482, -49, -72
483, -15, -34
484, -45, 50
485, -42, 38
486, -10, -20
487, -23, -23
488, -24, 3
489, 6, 0
490, -23, -14
491, 37, 2
492, -9, 29
493, 16, 16
494, 36, -29
495, 43, -27
496, 75, 27
497, 38, 30
498, 90, -30
499, 61, -30
500, 83, 47
501, 93, 50
502, 122, -30
503, 119, -43
504, 115, 13
505, 154, 19
506, 154, -2
507, 156, 28
508, 156, 34
509, 177, -27
510, 174, -37
511, 166, 25
512, 191, 30
513, 177, -13
514, 201, 11
515, 193, 42
516, 168, -14
517, 179, -48
518, 201, 26
519, 149, 64
520, 154, -13
521, 164, -55
522, 168, 19
523, 131, 61
524, 161, -1
525, 126, -43
526, 109, 0
527, 106, 36
528, 111, 10
529, 85, -16
530, 69, -7
531, 55, 3
532, 88, 11
533, 47, 22
534, 23, 3
535, 53, -34
536, 11, -17
537, 10, 34
538, 1, 21
539, 5, -25
540, -34, -11
541, -23, 23
542, -40, -5
543, -37, -29
544, -37, 17
545, -67, 29
546, -62, -33
547, -38, -34
548, -85, 39
549, -60, 31
550, -45, -40
551, -54, -24
552, -95, 24
553, -43, -7
554, -52, -27
555, -73, 36
556, -47, 38
557, -61, -55
558, -59, -55
559, -46, 44
560, -61, 44
561, -57, -37
562, -52, -24
563, -60, 33
564, -55, 1
565, -65, -40
566, -38, 2
567, -39, 35
568, -81, -7
569, -62, -39
570, -17, -1
571, -67, 40
572, -44, 19
573, -38, -41
574, -39, -50
575, -53, 21
576, -3, 65
577, -44, -1
578, -35, -62
579, -5, -6
580, -52, 46
581, 11, -3
582, -38, -39
583, -10, 12
584, -6, 32
585, -9, -13
586, 1, -24
587, 15, 13
588, 6, 14
589, 15, -11
590, 12, -9
591, 18, 3
592, 15, 7
593, 47, 16
594, 29, 7
595, 18, -29
596, 69, -23
597, 46, 33
598, 53, 38
599, 69, -23
600, 69, -31
601, 45, 19
602, 88, 24
603, 112, -6
604, 60, 0
605, 115, 6
606, 99, -19
607, 95, -6
608, 115, 43
609, 97, 26
610, 107, -34
611, 93, -23
612, 93, 22
613, 118, 11
614, 73, -5
615, 105, 18
616, 75, 11
617, 105, -19
618, 72, -2
619, 85, 20
620, 91, -9
621, 49, -16
622, 77, 27
623, 88, 26
624, 69, -15
625, 87, -10
626, 43, 1
627, 97, -18
628, 77, 10
629, 78, 62
630, 92, 5
631, 81, -75
632, 101, -11
633, 114, 79
634, 93, 18
635, 117, -59
636, 100, -2
637, 105, 49
638, 129, -1
639, 104, -24
640, 134, 20
641, 121, 16
642, 159, -14
643, 126, 2
644, 139, 13
645, 135, -12
646, 125, 8
647, 159, 48
648, 139, 3
649, 135, -54
650, 152, -13
651, 144, 45
652, 146, 27
653, 132, 0
654, 170, 8
655, 105, -7
656, 122, -34
657, 129, -3
658, 116, 47
659, 105, 35
660, 101, -14
661, 84, -34
662, 60, -12
663, 63, 23
664, 51, 34
665, 23, 2
666, 40, -29
667, -15, -17
668, -10, 6
669, -28, 8
670, -29, 18
671, -79, 23
672, -65, -20
673, -78, -57
674, -108, -10
675, -128, 43
676, -130, 12
677, -161, -21
678, -157, 8
679, -149, 11
680, -203, -51
681, -173, -54
682, -210, 25
683, -209, 56
684, -182, 6
685, -263, -35
686, -186, -38
687, -243, -25
688, -232, 7
689, -197, 26
690, -265, -4
691, -214, -30
692, -211, -1
693, -213, 16
694, -221, -24
695, -179, -37
696, -177, 12
697, -201, 26
698, -165, -25
699, -134, -31
700, -165, 26
701, -117, 30
702, -132, -39
703, -116, -53
704, -98, 17
705, -85, 47
706, -62, -4
707, -62, -35
708, -15, 0
709, -43, 15
710, 7, -8
711, 9, -13
712, 3, 10
713, 42, 14
714, 59, -1
715, 59, -5
716, 87, -1
717, 112, 2
718, 85, 6
719, 126, 4
720, 158, 3
721, 141, 14
722, 147, 7
723, 209, -19
724, 159, -8
725, 209, 40
726, 191, 31
727, 207, -26
728, 226, -18
729, 190, 36
730, 248, 18
731, 205, -28
732, 251, 10
733, 240, 53
734, 217, -2
735, 244, -48
736, 222, 11
737, 244, 63
738, 220, 14
739, 237, -34
740, 235, -9
741, 216, 24
742, 236, 19
743, 211, 7
744, 211, 5
745, 215, 6
746, 232, 12
747, 182, 0
748, 175, -28
749, 238, 1
